entity,attribute_camel,attribute_snake,description
ApipInteraction,AssessmentItemBodySelectPointInteraction,assessment_item_body_select_point_interaction,"A graphic associate interaction is a graphic interaction with a corresponding set of choices that are defined as areas of the graphic image. The candidate's task is to associate the areas (hotspots) with each other. The graphic associate interaction should only be used when the graphical relationship of the choices with respect to each other (as represented by the graphic image) is important to the needs of the item. Otherwise, associateInteraction should be used instead with separate Material for each option. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodySelectPointInteractionXML,assessment_item_body_select_point_interaction_xml,"Like hotspotInteraction, a select point interaction is a graphic interaction. The candidate's task is to select one or more points. The associated response may have an areaMapping that scores the response on the basis of comparing it against predefined areas but the delivery engine must not indicate these areas of the image. Only the actual point(s) selected by the candidate shall be indicated. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodySliderInteractionXML,assessment_item_body_slider_interaction_xml,The slider interaction presents the candidate with a control for selecting a numerical value between a lower and upper bound. It must be bound to a response variable with single cardinality with a base-type of either integer or float. The XML from the IMS Global APIP Specification would be included.
AssessmentItem,AssessmentItemBodyText,assessment_item_body_text,"The complete text of an assessment item including all applicable parts such as stimulus, stem, and possible response options presented."
ApipInteraction,AssessmentItemBodyTextEntryInteractionXML,assessment_item_body_text_entry_interaction_xml,"A textEntry interaction obtains a simple piece of text from the candidate. Like inlineChoiceInteraction, the delivery engine must allow the candidate to review their choice within the context of the surrounding text. The XML from the IMS Global APIP Specification would be included."
ApipInteraction,AssessmentItemBodyUploadInteractionXML,assessment_item_body_upload_interaction_xml,The upload interaction allows the candidate to upload a pre-prepared file representing their response. It must be bound to a response variable with base-type file and single cardinality. The XML from the IMS Global APIP Specification would be included.
AssessmentItemCharacteristic,AssessmentItemCharacteristicValue,assessment_item_characteristic_value,A psychometric measure provided for an assessment item.
AssessmentItem,AssessmentItemDifficulty,assessment_item_difficulty,The percentage of students who answered the item correctly during trial testing of the item.
AssessmentItem,AssessmentItemDistractorAnalysis,assessment_item_distractor_analysis,The analysis of the distractors provided for a specific assessment.
AssessmentItem,AssessmentItemIdentifier,assessment_item_identifier,The identifier that uniquely identifies an assessment item.
AssessmentItem,AssessmentItemMaximumScore,assessment_item_maximum_score,The maximum number of points possible for the assessment item.
AssessmentItem,AssessmentItemMinimumScore,assessment_item_minimum_score,The minimum number of points possible for the assessment item.
AssessmentItemPossibleResponseDetail,AssessmentItemPossibleResponseFeedbackMessage,assessment_item_possible_response_feedback_message,A message provided to the person being assessed after giving a response that matches the possible response.
AssessmentItemPossibleResponseDetail,AssessmentItemPossibleResponseOption,assessment_item_possible_response_option,The possible response presented to the participant within a selected-response/multiple-choice assessment item.
AssessmentItemPossibleResponseDetail,AssessmentItemPossibleResponseSequenceNumber,assessment_item_possible_response_sequence_number,"The position of this response in the list of responses displayed, such as for a multiple choice item type."
AssessmentItemPossibleResponseDetail,AssessmentItemPossibleResponseValue,assessment_item_possible_response_value,"The description of each distracter on an assessment item, explaining why it is there, what misunderstandings it exposes."
AssessmentItemResponse,AssessmentItemResponseAidSetUsed,assessment_item_response_aid_set_used,"A tool or aid set used while viewing the item. This can include things like a calculator, reference tools, etc."
AssessmentItemCharacteristic,AssessmentItemResponseChoicePattern,assessment_item_response_choice_pattern,The distribution of responses for each choice in the assessment item.
AssessmentItemResponse,AssessmentItemResponseDescriptiveFeedback,assessment_item_response_descriptive_feedback,The formative descriptive feedback that was given to a learner in response to the results from a scored/evaluated assessment item.
AssessmentItemResponse,AssessmentItemResponseDescriptiveFeedbackDate,assessment_item_response_descriptive_feedback_date,The date and time the descriptive feedback was entered in response to the results from a scored/evaluated assessment item.
AssessmentItemResponse,AssessmentItemResponseDuration,assessment_item_response_duration,The total amount of time in seconds or milliseconds  that a person spent responding to a given assessment item.
AssessmentItemResponse,AssessmentItemResponseFirstAttemptDuration,assessment_item_response_first_attempt_duration,"The amount of time in seconds or milliseconds that a person took to give an initial response, a first attempt to answer a formative assessment item."
AssessmentItemResponse,AssessmentItemResponseHintCount,assessment_item_response_hint_count,The total number of hints presented as the learner responded to a formative assessment item.  This may include hints requested by the learner or hints automatically presented such as in an online tutoring system. Presentation of a scaffolding item is a separate response record and not counted as a hint.
AssessmentItemResponse,AssessmentItemResponseScoreValue,assessment_item_response_score_value,The score given to a person's response to an assessment item.
AssessmentItemResponse,AssessmentItemResponseSecurityIssue,assessment_item_response_security_issue,"The description of security issue, if any, related to a learner's response to an assessment item."
AssessmentItemResponse,AssessmentItemResponseStartDate,assessment_item_response_start_date,The date on which the assessment item was presented to the learner.
AssessmentItemResponse,AssessmentItemResponseStartTime,assessment_item_response_start_time,The time of day that the assessment item was presented to the learner.
AssessmentItemResponseTheory,AssessmentItemResponseTheoryDIFValue,assessment_item_response_theory_dif_value,"A value representing the Differential Item Functioning, also referred to as  measurement bias, for the assessment item.  The value represents differences in the functioning of the item across groups which are matched on the attribute being measure by the item.  The value is calculated using Mantel-Haenszel approach or a comparable algorithm so that a value of 1.0 represents no bias."
AssessmentItemResponseTheory,AssessmentItemResponseTheoryKappaValue,assessment_item_response_theory_kappa_value,The measure used to represent the degree of agreement among raters.
AssessmentItemResponseTheory,AssessmentItemResponseTheoryParameterA,assessment_item_response_theory_parameter_a,"The Item Response Theory value representing the discrimination of the item. The a parameter is found by taking the slope of the line tangent to the item characteristic curve at the inflection point, B. The parameter is the steepness of the curve at its steepest point."
AssessmentItemResponseTheory,AssessmentItemResponseTheoryParameterB,assessment_item_response_theory_parameter_b,The Item Response Theory value representing the difficulty of the item.   It is the Theta value for the location of the inflection point of the item characteristic curve.
